,Age,Country,Book_Count,Average_Rating,Above_Average
2190,29,119,1,7.0,0
2197,26,20,9,8.22,1
2203,40,144,1,7.0,0
2218,48,119,1,8.0,0
2224,23,44,1,7.0,0
2230,44,119,1,2.0,0
2238,34,119,2,10.0,0
2255,35,119,3,7.67,0
2276,46,119,194,8.38,1
2281,30,119,2,5.0,0
2287,35,119,8,6.25,1
2288,30,119,14,7.21,1
2295,21,119,2,7.0,0
2296,61,119,2,7.5,0
2305,71,144,1,7.0,0
2313,23,119,28,7.07,1
2324,40,119,1,8.0,0
2326,23,98,2,8.5,0
2329,13,74,1,4.0,0
2336,17,119,1,9.0,0
2337,34,119,17,8.82,1
2340,29,119,1,4.0,0
2345,55,144,1,9.0,0
2350,24,119,1,8.0,0
2351,24,47,1,5.0,0
2357,35,119,1,8.0,0
2358,23,119,22,7.41,1
2363,42,119,22,8.68,1
2366,16,119,1,8.0,0
2368,18,119,1,10.0,0
2375,20,119,4,7.5,0
2376,38,119,1,6.0,0
2388,64,119,1,6.0,0
2399,32,119,6,7.67,0
2406,48,47,6,4.5,0
2411,37,119,6,5.0,0
2415,33,47,2,8.5,0
2416,21,107,1,7.0,0
2417,35,119,1,7.0,0
2425,54,20,1,7.0,0
2437,45,119,8,8.12,1
2439,26,119,8,8.0,1
2461,59,119,2,8.0,0
2470,22,119,2,7.0,0
2473,31,119,1,10.0,0
2499,49,119,1,5.0,0
2501,34,98,1,10.0,0
2503,36,144,1,7.0,0
2506,50,107,1,7.0,0
2508,38,144,1,9.0,0
2515,38,107,1,7.0,0
2520,42,107,1,10.0,0
2545,48,47,2,4.5,0
2549,31,44,2,6.5,0
2562,53,119,1,8.0,0
2578,16,20,1,8.0,0
2583,33,119,1,9.0,0
2590,26,119,1,9.0,0
2597,29,119,3,8.0,0
2605,33,119,1,7.0,0
2622,41,119,5,8.0,0
2630,66,119,3,8.0,0
2632,47,119,2,7.0,0
2634,53,119,1,8.0,0
2640,24,119,1,8.0,0
2643,28,119,1,9.0,0
2653,46,119,2,8.0,0
2656,83,119,1,10.0,0
2678,16,119,2,5.5,0
2679,34,144,1,7.0,0
2683,17,119,1,10.0,0
2685,21,63,1,9.0,0
2687,35,119,1,8.0,0
2688,16,47,3,3.67,0
2690,35,119,1,4.0,0
2700,29,119,1,7.0,0
2718,30,119,1,10.0,0
2719,37,119,13,6.92,1
2738,32,63,3,6.33,0
2749,18,20,1,10.0,0
2766,42,119,86,8.07,1
2769,27,63,1,7.0,0
2789,28,107,2,6.5,0
2790,50,119,2,8.0,0
2793,34,119,13,7.38,1
2808,21,107,1,5.0,0
2854,36,119,4,6.75,0
2855,35,119,5,6.0,0
2861,26,119,1,10.0,0
2863,34,98,1,7.0,0
2883,43,119,1,10.0,0
2892,26,119,1,9.0,0
2893,21,107,3,6.0,0
2896,20,17,1,6.0,0
2906,20,44,3,6.33,0
2914,34,119,1,7.0,0
2935,59,119,4,6.0,0
2936,30,144,1,4.0,0
2942,28,20,1,8.0,0
2945,29,119,1,8.0,0
2948,24,119,1,10.0,0
2954,71,119,12,7.25,1
2972,60,119,1,6.0,0
2977,25,119,61,7.43,1
2982,34,20,2,8.0,0
2983,25,144,1,10.0,0
2985,17,144,1,1.0,0
2995,61,119,1,6.0,0
2996,21,63,4,7.25,0
3003,60,43,1,5.0,0
3032,40,7,1,1.0,0
3052,31,119,1,9.0,0
3053,33,47,1,10.0,0
3061,19,119,1,8.0,0
3063,57,119,2,7.5,0
3087,20,119,1,9.0,0
3088,25,44,2,7.5,0
3095,19,5,1,7.0,0
3100,42,119,1,6.0,0
3101,28,107,1,5.0,0
3104,27,119,4,6.75,0
3133,34,119,1,9.0,0
3142,29,119,5,8.6,0
3145,34,119,17,7.94,1
3150,51,119,1,9.0,0
3166,15,119,1,10.0,0
3167,42,119,37,7.78,1
3168,17,20,2,7.5,0
3172,32,119,1,10.0,0
3174,24,119,1,10.0,0
3175,35,119,1,7.0,0
3191,29,60,3,6.33,0
3193,24,7,1,5.0,0
3194,20,119,1,10.0,0
3197,38,119,1,7.0,0
3200,42,107,1,7.0,0
3206,23,107,1,8.0,0
3209,24,107,1,8.0,0
3232,35,63,1,5.0,0
3243,28,119,1,7.0,0
3260,45,119,1,7.0,0
3282,52,20,21,9.19,1
3283,19,47,1,8.0,0
3289,38,20,3,7.33,0
3293,19,107,2,8.5,0
3296,63,119,1,9.0,0
3300,49,119,1,10.0,0
3305,26,20,2,8.5,0
3315,51,7,1,5.0,0
3326,37,47,11,5.82,1
3331,60,119,11,8.0,1
3332,54,144,3,6.33,0
3344,61,119,5,7.8,0
3346,20,59,33,8.0,1
3350,23,119,5,7.8,0
3355,19,107,5,7.4,0
3363,29,119,94,8.98,1
3364,29,20,1,7.0,0
3371,25,119,37,7.73,1
3373,30,119,32,6.22,1
3374,47,20,5,8.8,0
3379,16,20,1,8.0,0
3385,42,103,1,8.0,0
3393,55,119,1,9.0,0
3416,34,47,9,7.78,1
3418,14,119,10,7.4,1
3427,50,119,3,7.33,0
3445,45,119,1,6.0,0
3460,32,20,1,6.0,0
3463,66,119,2,7.0,0
3467,36,119,5,8.6,0
3472,24,119,3,9.0,0
3481,49,119,4,6.5,0
3488,21,106,2,9.5,0
3505,30,119,1,8.0,0
3508,46,144,3,6.0,0
3509,29,119,1,8.0,0
3514,22,119,1,9.0,0
3538,31,107,22,7.77,1
3543,37,119,4,9.5,0
3544,58,119,1,8.0,0
3546,27,119,1,8.0,0
3550,30,119,1,8.0,0
3556,68,119,26,9.31,1
3564,24,107,1,10.0,0
3573,32,119,2,8.5,0
3578,25,20,16,8.69,1
3580,44,119,3,6.0,0
3583,48,7,2,6.0,0
3586,46,119,1,6.0,0
3594,48,137,10,6.9,1
3601,33,119,2,7.5,0
3603,34,119,1,8.0,0
3604,26,119,1,5.0,0
3605,28,119,3,7.0,0
3613,29,20,1,8.0,0
3669,34,119,6,7.67,0
3675,24,107,22,7.64,1
3679,25,119,1,6.0,0
3693,23,119,12,7.75,1
3694,16,119,1,8.0,0
3709,30,119,2,8.5,0
3719,18,119,17,7.29,1
3728,40,119,3,7.67,0
3752,44,110,3,5.33,0
3756,44,119,1,7.0,0
3764,19,9,1,10.0,0
3771,17,107,1,7.0,0
3775,57,119,4,6.5,0
3776,39,119,1,10.0,0
3777,27,144,2,4.5,0
3789,25,47,1,10.0,0
3792,12,119,3,10.0,0
3798,23,119,1,4.0,0
3799,18,144,5,8.2,0
3816,33,63,1,7.0,0
3817,29,119,6,8.0,0
3821,36,119,1,7.0,0
3827,23,119,69,8.2,1
3829,28,119,1,10.0,0
3837,21,119,1,8.0,0
3840,46,119,19,8.58,1
3865,25,119,1,7.0,0
3869,38,119,1,9.0,0
3871,50,119,1,8.0,0
3876,34,47,1,10.0,0
3884,64,119,1,8.0,0
3896,32,44,1,10.0,0
3902,59,20,1,8.0,0
3910,25,119,1,7.0,0
3917,25,20,25,7.44,1
3921,45,119,1,5.0,0
3930,47,107,1,7.0,0
3934,33,142,1,10.0,0
3937,31,47,1,8.0,0
3938,37,119,1,9.0,0
3939,53,119,2,7.5,0
3940,32,44,1,8.0,0
3943,40,119,1,10.0,0
3954,24,119,2,6.0,0
3959,23,119,1,8.0,0
3960,51,44,1,9.0,0
3975,29,119,1,9.0,0
3977,63,119,4,7.75,0
3999,71,119,1,10.0,0
4016,17,119,1,7.0,0
4017,48,119,152,8.99,1
4035,60,119,2,7.5,0
4044,33,119,1,9.0,0
4049,65,144,5,7.8,0
4051,37,144,3,7.67,0
4066,31,119,5,7.8,0
4091,77,119,7,7.14,1
4092,27,119,14,6.86,1
4096,38,20,1,6.0,0
4097,24,107,1,7.0,0
4098,30,54,8,7.5,1
4107,19,20,3,7.67,0
4118,20,119,1,7.0,0
4122,24,119,1,8.0,0
4127,33,137,1,6.0,0
4131,51,144,11,7.82,1
4134,42,47,2,1.5,0
4138,20,119,5,7.4,0
4144,31,20,3,7.0,0
4148,20,119,1,5.0,0
4157,39,119,28,7.5,1
4165,53,119,2,6.0,0
4169,57,119,2,9.0,0
4179,18,119,4,7.25,0
4181,44,119,1,6.0,0
4183,57,119,1,6.0,0
4185,63,119,1,8.0,0
4187,35,119,2,8.0,0
4188,34,119,1,9.0,0
4191,26,119,2,8.5,0
4197,61,119,21,7.57,1
4198,14,119,1,10.0,0
4207,19,107,1,8.0,0
4223,28,47,9,6.78,1
4225,33,20,4,6.75,0
4228,41,119,4,8.25,0
4248,28,20,1,7.0,0
4260,31,44,5,7.4,0
4278,40,34,1,10.0,0
4285,50,119,2,6.5,0
4286,51,119,1,10.0,0
4309,34,119,2,10.0,0
4333,17,107,1,8.0,0
4334,38,63,20,7.3,1
4339,33,107,1,7.0,0
4343,38,65,1,5.0,0
4363,22,107,3,7.33,0
4365,19,20,6,9.17,0
4369,74,119,1,10.0,0
4370,46,20,2,5.0,0
4375,32,119,1,3.0,0
4385,33,119,212,9.74,1
4401,28,119,8,8.12,1
4419,29,119,1,5.0,0
4420,24,110,5,7.2,0
4428,31,107,2,6.5,0
4432,64,144,1,8.0,0
4433,17,101,4,8.5,0
4438,42,119,2,6.0,0
4443,59,119,1,9.0,0
4444,29,119,1,6.0,0
4495,59,144,1,7.0,0
4497,25,9,1,1.0,0
4508,64,142,1,10.0,0
4512,22,44,1,8.0,0
4514,23,98,1,9.0,0
4516,66,119,2,7.5,0
4518,30,63,1,10.0,0
4525,31,5,1,5.0,0
4539,44,7,1,7.0,0
4541,32,119,3,8.0,0
4547,24,63,4,6.5,0
4570,40,119,6,6.83,0
4571,23,7,6,6.67,0
4573,32,119,1,10.0,0
4590,21,107,2,7.5,0
4591,21,9,1,7.0,0
4600,32,119,14,8.14,1
4622,18,119,17,6.24,1
4710,43,63,2,5.5,0
4714,22,119,1,9.0,0
4720,30,44,1,8.0,0
4768,44,144,1,10.0,0
4769,35,119,6,8.17,0
4774,18,144,1,8.0,0
4776,13,7,1,8.0,0
4781,47,119,1,6.0,0
4784,21,119,2,5.0,0
4785,30,119,29,7.17,1
4795,18,119,13,8.92,1
4802,28,144,6,7.0,0
4806,29,119,1,9.0,0
4821,44,119,3,5.67,0
4823,37,119,1,8.0,0
4849,22,47,1,7.0,0
4852,56,119,1,10.0,0
4864,30,119,2,7.5,0
4870,39,119,1,8.0,0
4875,23,86,1,6.0,0
4886,41,107,1,4.0,0
4896,18,101,9,10.0,1
4938,30,119,24,7.92,1
4947,32,98,1,8.0,0
4948,42,110,1,10.0,0
4970,18,119,1,8.0,0
4972,26,107,1,6.0,0
4973,29,20,2,7.5,0
4980,21,119,1,7.0,0
4994,16,119,1,7.0,0
4995,33,119,1,7.0,0
4998,18,119,1,9.0,0
4999,54,119,2,10.0,0
5007,14,144,1,10.0,0
5012,21,119,1,10.0,0
5017,22,7,1,10.0,0
5018,28,44,1,7.0,0
5027,31,137,4,7.0,0
5034,21,119,1,10.0,0
5037,26,119,16,7.19,1
5049,32,119,1,8.0,0
5055,15,119,2,6.5,0
5062,22,119,1,1.0,0
5066,37,119,1,10.0,0
5079,29,63,1,7.0,0
5100,36,119,2,7.0,0
5102,31,107,1,8.0,0
5126,53,119,2,6.0,0
5127,33,63,6,8.5,0
5146,28,63,1,8.0,0
5151,24,107,1,10.0,0
5153,31,98,2,9.0,0
5158,21,44,3,7.67,0
5162,66,119,1,7.0,0
5170,18,119,1,10.0,0
5173,32,107,1,10.0,0
5186,50,119,1,3.0,0
5204,24,44,5,8.6,0
5206,18,107,1,8.0,0
5207,34,119,6,7.67,0
5208,20,44,2,8.5,0
5209,48,119,54,8.33,1
5223,36,107,3,5.0,0
5225,27,47,5,6.8,0
5231,56,107,1,7.0,0
5260,20,47,1,2.0,0
5285,38,119,3,8.33,0
5286,18,119,7,8.14,1
5287,22,20,4,7.75,0
5294,22,20,3,5.67,0
5296,34,119,2,6.0,0
5327,28,7,1,7.0,0
5331,26,144,11,9.0,1
5333,49,84,5,7.4,0
5350,20,47,16,6.81,1
5351,74,137,1,9.0,0
5358,52,119,1,7.0,0
5359,55,119,1,9.0,0
5361,72,119,1,8.0,0
5366,37,107,1,7.0,0
5375,47,119,5,7.2,0
5376,41,119,1,7.0,0
5383,22,28,1,8.0,0
5385,30,119,20,7.55,1
5410,66,119,1,10.0,0
5426,32,119,1,8.0,0
5427,11,144,1,10.0,0
5429,51,119,1,9.0,0
5430,47,119,2,6.5,0
5439,66,119,12,8.25,1
5448,14,119,14,8.07,1
5451,24,119,2,6.5,0
5452,26,119,4,5.75,0
5463,31,107,1,7.0,0
5468,15,119,1,7.0,0
5469,26,119,1,8.0,0
5471,60,107,2,9.0,0
5479,27,119,1,6.0,0
5483,20,74,1,8.0,0
5489,60,137,1,8.0,0
5490,33,119,10,5.6,1
5492,48,119,1,9.0,0
5506,19,119,3,7.33,0
5513,17,107,1,9.0,0
5517,53,119,1,10.0,0
5526,49,119,1,10.0,0
5535,22,14,1,8.0,0
5539,32,119,19,7.42,1
5543,29,119,28,7.04,1
5553,23,144,2,8.0,0
5559,37,119,1,8.0,0
5562,26,144,1,7.0,0
5576,23,20,2,5.0,0
5581,22,7,1,7.0,0
5582,26,119,132,8.25,1
5585,39,119,1,5.0,0
5591,58,119,1,8.0,0
5604,48,47,2,8.0,0
5609,25,101,10,9.4,1
5619,52,44,1,10.0,0
5634,25,107,2,10.0,0
5639,34,63,4,7.75,0
5644,23,44,2,7.0,0
5653,13,7,1,7.0,0
5665,40,119,7,7.57,1
5674,15,119,5,7.2,0
5683,16,119,1,4.0,0
5702,14,7,1,9.0,0
5704,45,7,1,7.0,0
5709,15,74,7,7.43,1
5710,28,119,1,8.0,0
5722,23,119,6,6.83,0
5726,57,144,1,5.0,0
5728,22,119,10,7.8,1
5730,20,20,4,8.75,0
5737,44,119,3,7.33,0
5741,20,119,10,8.5,1
5757,37,107,1,8.0,0
5766,40,119,3,6.0,0
5770,37,144,1,5.0,0
5774,32,119,1,5.0,0
5775,34,119,1,6.0,0
5782,62,119,1,8.0,0
5783,32,119,4,8.0,0
5784,60,20,1,8.0,0
5788,30,144,1,9.0,0
5790,34,144,5,6.6,0
5816,19,44,1,8.0,0
5821,36,107,1,8.0,0
5830,19,119,1,6.0,0
5831,43,119,1,8.0,0
5834,26,47,6,6.33,0
5860,41,119,1,7.0,0
5861,17,119,2,8.5,0
5867,24,119,1,10.0,0
5868,47,119,1,9.0,0
5875,15,119,2,5.5,0
5887,21,51,1,8.0,0
5899,25,47,19,7.79,1
5903,25,9,14,7.79,1
5904,37,119,1,7.0,0
5905,57,20,2,8.5,0
5912,24,98,2,5.5,0
5916,31,7,1,5.0,0
5920,35,119,7,8.71,1
5922,19,119,1,9.0,0
5951,48,107,1,7.0,0
5956,27,119,22,5.36,1
5958,37,20,3,7.67,0
5963,38,119,8,6.38,1
5964,26,119,1,5.0,0
5968,38,34,1,7.0,0
5971,34,98,6,7.83,0
5983,22,77,1,7.0,0
5984,42,119,1,10.0,0
5988,49,119,2,7.0,0
5990,43,119,1,3.0,0
5995,50,119,1,8.0,0
5998,32,119,6,6.17,0
6003,15,119,1,7.0,0
6011,15,119,1,8.0,0
6017,15,144,2,7.5,0
6018,38,119,2,6.0,0
6022,18,119,1,8.0,0
6036,27,20,1,8.0,0
6051,33,119,3,9.0,0
6052,44,47,1,5.0,0
6066,35,7,1,7.0,0
6068,34,110,1,2.0,0
6073,28,119,51,8.43,1
6074,30,119,2,8.0,0
6083,39,7,1,5.0,0
6096,26,119,1,9.0,0
6099,32,47,1,6.0,0
6102,28,119,5,7.4,0
6103,24,119,1,7.0,0
6112,16,119,5,7.4,0
6114,40,144,1,8.0,0
6120,36,119,1,10.0,0
6124,26,119,1,8.0,0
6142,40,60,1,9.0,0
6173,16,20,1,9.0,0
6177,20,119,1,7.0,0
6184,13,119,2,8.5,0
6193,17,119,1,10.0,0
6207,23,44,1,6.0,0
6210,20,144,1,8.0,0
6226,40,119,1,6.0,0
6229,38,119,2,9.0,0
6238,38,170,31,8.81,1
6247,26,119,1,10.0,0
6251,32,119,215,8.63,1
6253,39,144,2,6.5,0
6259,19,20,1,7.0,0
6261,46,119,1,8.0,0
6263,19,47,1,8.0,0
6265,69,119,2,6.0,0
6274,22,63,2,6.5,0
6280,46,107,15,7.13,1
6285,70,20,3,7.0,0
6298,52,20,1,8.0,0
6302,69,20,1,5.0,0
6312,32,119,1,8.0,0
6313,35,77,1,8.0,0
6318,24,119,1,6.0,0
6323,35,119,61,5.21,1
6332,27,44,1,10.0,0
6333,45,119,9,6.44,1
6336,41,20,2,7.0,0
6338,18,119,3,8.0,0
6339,16,137,1,8.0,0
6345,29,119,14,7.93,1
6347,19,20,5,7.8,0
6349,66,119,1,8.0,0
6360,21,107,2,8.5,0
6364,32,119,4,10.0,0
6366,20,107,15,7.13,1
6368,26,119,2,8.5,0
6394,43,119,1,7.0,0
6397,59,119,1,9.0,0
6398,20,119,6,6.33,0
6400,38,119,1,9.0,0
6410,61,47,1,7.0,0
6411,17,44,3,7.0,0
6431,30,119,18,7.33,1
6432,21,20,4,5.75,0
6440,25,107,1,9.0,0
6443,30,119,1,8.0,0
6445,29,44,2,7.0,0
6450,26,20,3,9.67,0
6456,25,119,1,10.0,0
6462,22,119,1,8.0,0
6466,44,119,2,7.0,0
6472,31,119,1,8.0,0
6492,35,20,4,6.0,0
6501,25,119,4,7.0,0
6505,56,119,6,6.83,0
6507,26,107,3,7.67,0
6509,37,47,4,7.25,0
6514,20,119,1,5.0,0
6516,22,137,2,5.5,0
6535,26,98,1,10.0,0
6543,34,119,173,7.59,1
6545,25,20,1,5.0,0
6563,31,119,68,7.38,1
6564,37,98,18,8.28,1
6574,62,119,2,8.0,0
6577,62,119,15,7.13,1
6582,35,119,5,5.2,0
6592,37,20,1,8.0,0
6604,48,119,8,7.75,1
6608,23,119,1,4.0,0
6611,22,101,33,9.52,1
6629,19,119,1,8.0,0
6637,30,119,3,9.33,0
6648,70,119,1,8.0,0
6651,22,119,1,7.0,0
6652,41,119,1,7.0,0
6654,65,47,1,4.0,0
6655,22,84,1,7.0,0
6662,31,20,23,7.74,1
6670,54,119,1,8.0,0
6671,54,119,8,4.75,1
6673,66,119,1,8.0,0
6680,17,119,4,7.25,0
6682,16,119,2,9.0,0
6697,36,119,1,8.0,0
6698,20,119,1,8.0,0
6700,21,119,3,8.33,0
6704,32,119,1,10.0,0
6710,30,119,1,7.0,0
6724,26,107,1,6.0,0
6731,29,119,13,7.38,1
6761,53,119,1,9.0,0
6766,66,20,2,7.0,0
6768,35,119,1,10.0,0
6769,56,119,8,7.5,1
6781,22,119,6,8.67,0
6782,22,119,1,5.0,0
6795,31,119,1,8.0,0
6797,53,119,2,7.5,0
6815,24,119,2,9.0,0
6820,46,119,1,8.0,0
6831,14,119,1,8.0,0
6840,17,119,7,7.14,1
6855,41,44,1,8.0,0
6858,21,20,1,10.0,0
6865,40,119,8,8.88,1
6866,51,44,4,5.75,0
6867,23,119,1,6.0,0
6869,15,20,1,9.0,0
6871,28,119,6,4.5,0
6873,75,119,2,8.0,0
6883,23,144,1,6.0,0
6884,25,119,4,7.75,0
6889,20,107,2,6.0,0
6893,20,119,3,8.0,0
6894,20,119,8,8.0,1
